playlist_id,track_ids
1016,4347 1944 16846 19590 362 19362 13747 7260 18830 371
1021,12804 5700 17383 4443 1826 8129 1246 15548 6313 2915
1027,6509 5965 2693 4718 17744 13711 8413 7453 15563 10511
1046,13787 10019 13592 11627 3097 5633 1329 10913 5739 3558
1057,12906 19834 9963 7100 14091 12802 12393 12674 17153 10118
1065,8145 344 16502 18956 8426 4401 16494 3602 10838 975
1066,7904 3622 6466 11573 16973 19243 3648 4965 7700 14765
1087,13029 9974 4910 16379 14826 637 12599 10591 5100 10706
1092,19770 9804 14904 9579 7321 8342 4337 1641 19466 8692
1099,12510 2151 10848 15900 14008 411 20172 14904 1149 4910
1103,13154 3698 4301 8627 11947 16144 579 4089 7989 10843
1108,15312 9670 9060 12173 18289 17764 3413 12295 4255 13358
1115,9984 14360 7989 10957 16579 9383 3424 17990 11977 9422
1120,6113 7133 1813 16491 4737 18051 13105 7174 953 4881
1126,14309 18855 6981 10496 18058 13671 4259 12999 5169 14758
1129,14832 4201 11682 18751 1333 10316 11016 395 17404 5804
1147,8297 6197 2392 15543 11654 7323 15312 9060 9670 18289
1163,8709 8466 7544 12931 11882 8017 13670 9231 10738 4199
1169,11882 14022 12666 5655 16859 1365 1905 56 11930 12851
1174,11174 6423 15752 17312 10601 13404 9390 4619 13209 18136
1238,2970 10502 19317 8018 15373 6464 10019 1111 4910 1886
1254,8018 80 8798 19317 15373 2437 6937 648 8767 10502
1274,2674 8749 14714 13542 14375 14765 19858 8491 13139 17154
1285,8849 3876 4346 8540 12668 13624 1588 16905 5193 10346
1302,1357 17166 18763 8113 6285 14827 2513 9386 1710 6019
1316,19733 3893 5482 4675 16944 15458 6078 18424 4541 5324
1319,3473 18254 8197 19858 305 14375 1473 13043 5443 19776
1341,14714 15650 17154 18575 13542 18446 10100 15558 20443 5890
1346,8725 4347 18830 8356 770 1944 8138 17200 7516 19446
1350,3242 2551 20232 4253 6672 17663 3961 12744 2859 13052
1353,573 13980 16612 5903 3885 778 9712 15209 318 7092
1363,11227 10848 8494 20172 3830 16494 5322 20548 15548 14484
1371,3698 1944 19814 8138 4543 18830 4954 8001 2159 4301
1379,6569 18352 9083 2085 4281 18316 1933 13297 11876 16477
1383,1056 9051 19773 16225 5273 4496 3700 13787 16311 1374
1390,4865 4743 10572 7904 9508 1502 1898 11759 3622 18361
1398,13906 8996 10936 2520 14079 5121 13486 15303 10572 405
1404,6068 15640 17865 19411 2306 8614 387 4152 16331 5023
1415,6712 1681 104 2084 12414 4323 16199 2811 7065 16630
1417,12472 10446 17748 18798 11227 5700 820 1777 16864 14017
1454,16583 3453 12762 10466 10055 10691 20135 9804 20461 15837
1456,765 12323 4433 18358 12997 8021 13251 16163 18945 1111
1463,9060 7323 9670 17764 2869 18289 14679 10926 18057 2186
1481,1641 3551 4026 4058 4745 20172 5564 8491 9676 9804
1505,11774 13003 17550 10977 16080 10921 7750 15386 3410 10367
1519,17034 12510 482 3519 14826 10269 5112 10041 7267 1069
1524,14659 14046 7907 10196 7810 6230 6534 19368 20461 9007
1534,19205 8297 2392 15543 12173 15301 12247 6412 14373 10738
1542,214 7066 17396 20244 11262 20506 7953 20421 10989 4298
1545,19192 3022 2993 14213 18369 2253 7963 2423 18254 12888
1554,20172 411 8491 14826 14008 10965 15900 7187 4541 17984
1560,15312 9670 7323 18289 11654 17764 10973 352 14679 16585
1588,9388 4774 14907 10521 9718 1194 19558 12046 17822 4005
1590,15328 4811 2173 10418 2700 17264 6308 10042 5171 14345
1601,16502 4401 10848 20172 2919 8491 2497 14732 8145 11943
1637,4199 6733 8709 18599 6704 3337 9231 14033 11047 8466
1639,20351 18987 13886 9093 15386 7496 17692 3410 9602 20332
1661,6379 5167 5640 2994 4506 18578 3264 11951 17125 18107
1673,1944 8356 12075 405 1898 4743 7904 8138 18361 1502
1679,4457 397 4857 15758 12908 17223 5893 740 14190 15878
1682,14360 3961 14662 7989 12071 10957 15988 3242 16289 9246
1692,12507 1290 11740 14907 18262 1476 15547 3304 8437 11157
1701,17586 3505 2682 11670 3511 163 10008 13267 8230 9271
1703,5100 4202 2912 4026 10629 10706 14301 3551 12768 1900
1712,20555 13034 19576 12010 6859 8622 6919 18982 19721 19812
1713,1069 20287 5112 667 3811 3245 17096 221 10636 14173
1729,7989 15750 16083 3698 16673 4089 14662 16433 14360 1605
1730,3961 7490 5149 9473 16552 12071 9246 18856 3242 12008
1731,16274 8296 553 11870 16460 12628 13269 11905 2591 6780
1734,14309 13980 13237 4364 4057 14591 12999 11663 18058 6253
1740,18701 15312 18289 3413 6 1048 17764 16585 3919 3212
1742,14826 11943 10848 17346 17487 7506 17584 5206 15187 8145
1747,6780 3377 18504 14087 8486 14332 17102 17321 836 8296
1755,18617 2081 11233 11196 2891 17154 9752 5924 7669 13250
1766,10848 2497 20172 4401 411 6103 5572 16502 20263 13216
1807,8491 13216 797 14826 20051 2497 9792 15771 3830 7506
1814,17383 17748 15548 10446 15503 15392 12804 12472 17345 15667
1820,5817 18040 9229 12066 13862 3855 19890 16008 9145 17273
1852,1710 16297 7131 20120 13202 1290 16083 19779 17990 9804
1854,20172 10848 2997 4401 8953 8018 5141 4910 13894 11943
1871,10511 19711 5965 13354 17315 16941 12536 17534 17963 10916
1880,9118 125 6799 4376 14007 6602 4267 13070 5165 12073
1881,8540 12668 2581 13402 3876 1588 4346 16433 5193 14636
1883,12622 9392 14604 2518 6435 4998 13731 15410 6498 3410
1885,3790 660 12599 4013 10629 18332 1422 4202 12919 17138
1898,11774 13177 15045 16277 18072 17550 5842 18254 8500 7750
1904,11496 5924 3551 14714 15498 17634 11313 4743 3996 14178
1907,8956 18381 13980 15578 6253 18728 11366 3885 17096 12919
1912,16820 550 11101 8822 5881 689 1719 10636 9826 15333
1916,15778 18830 17056 12550 7410 16812 8356 14671 7256 14949
1927,19721 19163 18982 2818 11403 9651 8018 6937 15373 8798
1953,1300 19462 12931 2236 1365 8709 3624 8466 6408 19340
1958,15050 6408 9257 12623 9003 10379 5746 1828 17166 1322
1959,8356 56 8045 9231 12075 2730 9229 18830 17200 7544
1963,13980 6253 3885 8956 13139 16760 5881 17096 17239 19555
1967,6092 15949 2608 13735 13370 10148 10990 115 7919 18100
1978,9670 15312 7323 9060 3413 17764 6 10694 19205 2186
1979,9202 13154 17535 16144 9120 5475 16784 17896 13476 9592
1986,11157 3304 16417 272 14456 18304 16340 17447 4688 16484
2005,12510 4910 10269 6716 16601 8767 8145 10848 797 16767
2014,723 4807 19699 18905 4731 10041 14702 12834 16314 7734
2015,11282 7000 1041 13155 1830 5674 20371 6925 18285 5778
2022,13593 20444 2355 4704 8342 8618 3272 12196 16331 333
2042,16820 9291 12436 5924 3790 7009 5100 9676 4923 4965
2061,3602 5765 11750 4267 19536 3694 13251 975 743 18358
2068,3190 9984 11366 2740 11490 10957 15821 19590 13980 12910
2070,8452 12622 2518 4566 222 6918 4253 11013 17663 10834
2080,3519 2151 15542 19214 15076 3748 797 3611 1290 19602
2125,4152 19411 2409 4965 19398 10022 5069 18906 17334 7242
2134,13452 13368 17096 18356 13980 6981 2740 6460 10041 4057
2142,4834 699 920 16866 4202 12587 2336 344 15661 3272
2162,8828 14826 3173 12510 7506 3830 9429 4071 11148 6584
2164,10894 16615 17834 10636 7394 4072 5527 10316 7905 15007
2171,7224 3880 10300 7147 7550 13678 9202 508 16338 5527
2174,14826 411 15771 2497 16601 5141 3830 8866 1111 2437
2180,15578 360 17239 6253 16760 14395 18649 18728 11366 2674
2185,6925 7436 15624 3535 7000 19091 4087 4707 11722 11282
2213,6356 2257 4089 11791 17330 4073 13869 17521 10481 8640
2227,4202 20169 10269 16866 9550 15781 13029 12768 3519 2544
2229,13980 8956 17096 15578 14527 13237 3190 360 6253 2740
2240,9231 18729 14033 11202 19631 1645 11977 9003 9422 14239
2246,19773 16225 5273 15247 5739 20016 13312 10913 8956 18981
2251,7197 18040 12066 1898 4023 3950 20582 15074 12517 1268
2261,19008 699 1020 14178 18753 5459 5630 1697 2336 9919
2275,1898 9229 56 6776 9003 13862 14154 6453 18249 1060
2277,8021 18945 18358 4355 3189 18795 14983 10806 18369 4013
2278,16274 5228 3150 11835 6530 553 1385 8956 15215 8229
2280,14360 9346 7989 10957 9903 17990 8643 11947 12750 15916
2292,1813 5540 7539 9175 953 16491 20262 5675 18051 18794
2306,5881 8506 19243 8749 1591 12436 15474 6103 6242 13550
2307,9346 3961 12071 12237 17635 15218 18852 4301 15899 16673
2312,1944 18830 12550 8725 2159 4543 19814 16387 17200 15778
2322,12173 6 6182 3212 14679 12295 3832 10694 19654 2469
2342,14826 7506 12510 20172 648 10591 8767 11943 12622 1111
2358,8452 2349 222 2518 6918 7463 4566 13731 18358 10289
2363,7717 452 6529 11033 5264 4433 8456 8635 10985 3011
2364,8956 4444 13980 7610 42 4569 15314 17597 11366 8488
2371,1951 6220 20461 607 6732 8437 10055 10196 1290 18312
2374,11510 14370 18852 3961 10577 2000 18645 8047 17241 9882
2375,11366 14591 8956 17096 18728 15578 3932 4364 15209 360
2389,11943 5374 1422 463 20595 1713 4455 2508 11178 14826
2416,12510 14826 7506 2151 16166 3830 18951 2289 19969 3519
2420,8437 1840 6823 5020 9491 6433 817 5722 18726 1290
2431,20172 411 8822 4910 15771 2930 1111 4401 13894 8953
2433,1066 18726 13708 11157 1730 3758 6273 5625 7574 19928
2444,19555 3790 8822 15770 5881 4013 19398 14247 8469 3644
2473,20417 12396 12769 15108 20427 4089 579 972 11161 12523
2484,14665 10169 1393 13548 15710 15499 17786 18493 5443 7267
2515,305 8197 12599 11507 10629 8304 15386 19429 18332 14694
2517,14826 2272 4910 8539 7506 10591 20263 2873 18096 13216
2519,20287 1069 10636 5527 5112 3880 9705 2674 7147 648
2524,14612 5165 11750 18063 743 19536 3694 4267 5765 8608
2527,2024 1058 14119 14986 12598 17587 18006 2949 16109 4514
2545,18418 16338 4417 4603 19243 1373 9913 13123 9887 6077
2546,18575 8709 9003 7312 8045 15558 8466 16820 12623 12594
2547,3491 7611 17586 14178 18490 19008 586 3787 11670 16782
2559,7311 12243 18303 17431 19152 14579 6492 9314 9803 10992
2561,4574 7000 11282 13155 1830 20371 6925 18285 962 5778
2580,18096 7506 12436 3830 12510 14738 11638 15474 1591 20172
2589,10715 11753 6823 3254 6145 1290 17782 6036 3511 17982
2593,8953 13894 14770 15669 19699 8573 11850 7009 9710 689
2598,3173 9429 6584 4071 15558 11148 12927 15828 17699 10013
2605,18852 9984 14360 3242 18645 10957 12071 7989 10833 4695
2622,8709 9257 7544 10379 9231 6776 2508 20157 6704 14033
2624,19889 14322 6823 15893 4401 20372 1605 3698 3830 2086
2634,13670 6776 2508 9231 18275 13406 4199 5655 16708 73
2664,9211 4502 14904 387 8033 13593 1276 16583 4704 2712
2665,7506 14826 12510 8866 648 8767 2997 2151 5924 2437
2666,8540 16905 16083 4954 10346 3830 11664 5141 1149 4514
2680,463 10293 18991 11595 8066 11102 1422 868 14826 7506
2696,9712 8481 16381 7092 8728 5453 18649 9624 3885 675
2697,6433 7989 16673 15775 6971 10089 16083 3684 15750 6496
2713,13043 14213 19858 14375 16080 16277 11774 13202 2253 5746
2717,8356 1944 8138 17200 14907 19462 2236 8725 6343 13670
2727,13139 3885 2674 607 1290 17239 9705 6823 2272 13216
2730,8640 14360 7989 9984 2989 7081 11532 2922 10402 3256
2732,797 963 9291 7009 1719 10706 10629 16994 637 12284
2734,5925 13803 3698 7645 4743 14360 8627 9346 9984 8278
2742,13029 8345 19602 10706 7475 8659 12639 5606 637 16994
2769,11327 4379 8663 8185 15990 752 610 8811 2045 344
2777,6660 9724 14541 19567 2778 4462 12708 13000 19858 6139
2793,14904 5429 11029 16331 10100 2006 18743 9163 7321 19364
2807,5881 573 5606 12599 8822 15053 13153 16973 636 16820
2817,10594 10499 1160 12166 3485 18454 5734 5048 5310 4901
2829,19414 5031 1071 15428 7920 14765 13123 17203 19243 4052
2833,11393 19008 18991 1713 1057 7545 10596 7077 344 10438
2837,13980 15578 6253 17597 13237 12187 14591 360 1018 6189
2856,14827 18059 12061 2513 11604 7131 16293 7931 18963 8950
2868,7608 3698 18726 607 1447 2450 13997 170 19991 9422
2873,8418 16796 1852 13165 16998 20027 16024 12674 12187 3360
2898,9231 14033 9003 12623 4743 7544 8045 4199 7147 16583
2909,2608 15949 13288 18100 115 13735 20548 4175 14878 9398
2917,7009 15669 14453 20169 5100 2117 1719 7394 14994 20048
2922,1856 1712 12988 18492 1547 8182 14220 1676 3526 14861
2934,4574 18804 7000 20125 1041 18285 6925 17226 20371 5223
2939,9598 14983 18795 2357 8599 1384 16580 19471 3102 14826
2957,5924 11233 10894 1071 8749 3403 1063 20242 956 4013
2965,14597 11233 10419 17154 14714 17634 7321 12940 15650 5679
2973,19243 11257 8749 1740 18074 14714 17154 4826 2117 17157
2988,16852 10806 14983 8599 1384 9598 18848 2357 1497 13024
3025,4552 1849 2489 18478 8894 8074 4467 1180 13435 10259
3043,15155 9203 1911 1453 10845 4603 15365 13789 19243 17541
3045,16398 3471 8577 508 7081 15334 4223 5237 4944 2989
3049,5485 12949 15442 12507 2247 9491 5722 8437 17623 11740
3051,18266 12436 6103 18096 20263 10567 17239 4060 2272 14738
3086,14088 11850 855 1719 11070 17701 15669 10624 9710 5881
3092,5924 12311 15438 20242 18906 14765 19243 14632 10100 19411
3103,660 15781 3606 12768 14155 16866 4202 1726 12599 11357
3105,7811 14765 16973 14453 15228 3434 15558 4466 19243 18906
3131,19814 2682 8838 20366 163 3505 18763 10008 13267 2159
3146,4202 7545 7077 14301 11112 699 17421 12768 19134 9550
3183,7147 7811 12674 8796 12311 14765 4814 9676 20242 18906
3192,14826 4910 6829 16587 16998 3519 1714 10269 4903 18786
3196,1687 7904 405 8356 17200 11573 17820 10572 14037 11759
3200,15548 11286 18244 15437 9456 15392 9390 6313 1246 5700
3201,6918 13731 4566 7009 2518 11101 9278 2997 8452 10744
3232,13980 15209 5928 6253 1260 13237 1382 8956 18728 1494
3244,553 14313 16274 16460 12919 11211 10877 11870 17732 20458
3245,2807 395 5139 8781 913 7953 4072 18424 20506 8959
3246,6918 2518 4566 13731 12622 3105 9278 222 8452 4136
3248,3075 6330 2815 8417 17636 7045 901 19565 3517 13917
3263,15650 11257 4052 15935 1740 7109 5924 15498 20443 10880
3274,17663 3961 14631 2551 6672 5547 1147 7416 18425 4283
3278,16309 16923 7577 20571 17420 7400 2740 13894 9034 1196
3287,7416 2435 5667 10580 7298 762 17635 18423 6624 15185
3290,16866 4202 17346 6045 3579 699 12119 20500 11112 4834
3292,8956 2873 18096 15578 12436 13980 13216 10848 6103 2674
3320,20371 6925 7000 3535 15624 13155 4087 18285 4526 7436
3326,4072 11016 5527 7953 19414 10989 7920 18015 15485 16204
3329,607 1290 15577 17982 18726 8356 10434 19132 3943 6823
3334,6561 18409 9530 12134 1180 20483 10259 8692 3021 19173
3338,1275 3602 16474 19939 975 6524 12466 15862 1674 10838
3353,1828 1357 14604 9007 6435 9392 6285 6899 2090 13113
3354,17550 11774 20213 11882 19486 19462 13670 3410 2508 9003
3357,15820 4467 18254 19352 4526 4707 9430 5674 5778 15624
3386,12507 15442 19046 16417 272 16484 11157 5485 14305 5020
3394,3860 5655 14579 19152 14022 6492 1300 18150 11930 15865
3409,7485 4106 11196 14758 6892 18266 8724 2891 2081 13250
3415,9291 9826 2930 2780 1196 7728 8953 1975 14023 1746
3477,5700 11286 17383 15667 10446 11239 1826 17748 12472 15503
3482,17200 4543 19814 2159 8001 15341 8138 7256 18830 15778
3488,14826 648 8767 7506 12510 3189 16852 16601 9598 18848
3497,12075 8709 1898 8466 9231 4743 6868 4199 6453 2508
3511,16866 6971 1482 9919 10706 3551 20268 8424 8028 7394
3523,4189 15650 4839 17154 18824 16225 20238 15969 14147 5739
3531,5474 1300 18093 8466 2236 11882 7544 18404 17563 2508
3532,12563 8956 15578 4106 3347 20263 5089 12436 14591 13237
3535,3885 360 14591 8956 573 1746 10250 2674 16820 7619
3547,13542 8749 17154 14765 14714 16451 11510 18266 20443 10577
3561,12220 20417 19664 628 12931 2508 7544 18940 17682 20476
3567,18096 15578 13216 8956 14758 8488 18401 3460 19069 6712
3571,12639 13006 17826 18074 9826 16866 15669 9941 2912 13990
3578,18051 16491 18146 18897 12801 18794 5796 953 4585 15481
3589,13980 18096 8491 13237 10848 12990 18617 6103 411 17774
3596,13043 1012 19858 4925 11547 14375 14579 10930 6951 1357
3634,16548 18392 17704 18712 17046 5870 19462 1365 19536 13670
3645,8138 12550 8725 16812 19814 8001 2159 4170 6695 4029
3650,13043 7750 14375 19486 7739 10367 18254 14213 6043 20213
3678,14826 797 3830 13251 12510 14008 10848 19602 2151 8866
3696,7478 7989 5649 8362 15779 362 3698 2273 5924 4944
3704,13024 8828 6093 3173 6317 3790 5100 12927 5304 456
3711,302 1020 12857 12723 14178 20154 19423 4765 12721 19008
3712,17663 9473 17635 6672 18856 2551 19053 3961 19825 9940
3720,18617 13250 7485 8118 12990 17774 11661 20263 2891 3379
3728,9383 16536 7989 9984 14360 4812 15935 4695 10957 6823
3746,3860 19462 14022 5655 1365 3624 16521 14375 2236 5474
3747,6220 14659 8437 12075 20461 12765 1951 1898 1698 12910
3759,7989 14662 9383 10833 4369 2508 10089 18404 4148 10346
3780,17420 11155 7400 13165 2402 436 8418 1852 14453 14233
3784,19055 18575 2088 8466 15050 20197 9257 2272 2873 3418
3798,19391 12128 6064 9413 14660 20008 19162 12580 18843 5153
3805,9231 6408 12623 7544 6868 2508 8709 19340 8466 2730
3807,18051 18146 16491 17928 2561 18897 2299 7174 17138 7133
3808,2886 1849 877 1192 10715 8378 10089 6971 7989 3684
3816,1195 15713 8934 12721 17786 6015 11585 18493 9394 14665
3822,18804 7478 17925 17226 15923 13998 3880 8796 5649 5259
3827,11510 15185 17241 6624 2272 2873 6703 13216 7416 18090
3851,15185 6703 9882 4401 14714 17154 10300 3961 4189 2000
3863,9003 19556 8709 20007 18963 6529 8466 10930 6285 520
3872,10848 2497 20515 4401 2919 4949 3830 5572 10251 4600
3875,2117 550 15926 13551 19781 1437 14453 7397 5685 11474
3888,12393 19243 12311 4052 3885 3648 13139 11257 16509 18906
3893,16551 4760 2931 19485 12737 17554 18323 7313 4098 12478
3898,17063 2081 15866 10684 8377 6892 7669 9518 13535 2740
3910,8692 4928 4337 5906 10100 9804 387 3329 394 1530
3916,19398 4965 16973 15701 17334 2306 16171 12953 16315 1020
3918,17663 11688 19969 2551 18856 3242 10834 9246 4253 19825
3933,13139 10250 573 541 17034 17239 667 10636 18649 18074
3940,11233 10100 4189 15650 19590 17634 5649 19243 7478 19362
3944,2272 18096 2873 20263 10848 14826 3961 797 7961 5572
3946,12815 10577 11510 1513 2551 15185 7416 5749 4672 1992
3954,5001 16839 8942 18753 11670 18448 1697 3511 2274 19673
3959,5870 17984 8507 5165 5765 17622 1605 19536 12510 4514
3968,8767 12510 10848 20172 10711 5141 1422 4949 2437 16601
3969,8437 6220 20461 14659 12765 1951 8835 13435 6971 18156
3971,10684 2891 17063 6494 9635 4106 2081 8377 17556 19211
3984,9003 8709 19340 6776 12623 6408 15050 14430 9257 18275
4000,13940 16433 3750 11916 12220 15301 15459 303 18669 3876
4008,5020 8437 5601 5722 12564 12765 19191 1951 8361 10209
4013,3242 15988 6672 17635 7961 17663 19969 4253 7490 18852
4023,16821 3023 13006 20268 17826 7394 3011 5881 17203 2367
4036,12093 15362 15001 16126 18709 9969 9704 7272 7118 13661
4058,4258 3911 3777 4953 6086 14448 6088 18538 7525 7130
4082,15781 16866 10706 3551 15090 1133 13930 1641 4058 13764
4091,5606 10848 11943 10711 20172 12510 4910 5141 16494 11369
4112,5031 7920 5846 3403 1071 13368 9380 4859 10894 667
4119,1830 3535 19352 16697 19091 7000 1041 4526 15864 5674
4124,11510 7416 9471 10577 6672 17635 724 8031 12071 18556
4142,18728 14591 20263 6892 14758 3347 13237 360 15209 17096
4151,18899 1071 13439 15428 5846 14994 13489 4430 3403 8424
4154,1849 1180 9436 4013 877 2489 13154 6139 7153 9221
4165,6776 8045 7544 6408 17200 8709 4743 8138 12075 8466
4174,2508 14907 1060 1653 16205 15029 12623 4148 18361 19462
4182,13486 2520 13041 18987 18830 11970 9093 8138 11074 17200
4186,11233 19243 10419 4909 19590 13542 7109 13424 8749 14765
4188,19590 19362 14714 11363 6933 7527 17154 15498 14765 4189
4189,13216 14738 2272 18266 4060 14758 12436 12990 11638 9635
4193,10081 1039 19733 19119 17651 6915 17897 19476 18220 5527
4195,4675 5482 5324 1492 7989 14360 10957 15360 14662 18679
4216,20172 12510 17584 1111 11943 2873 15771 14758 8866 17417
4226,12814 13807 7767 15702 13029 5097 963 4074 19602 8345
4231,14994 20268 16402 7394 8424 8028 18418 7153 13455 8923
4236,12666 3624 11882 14022 1365 20210 16859 5238 18944 3890
4238,19152 14579 19556 8950 9314 15865 16930 15967 6594 520
4251,9834 18824 4253 14147 19154 15322 20501 663 1860 5149
4256,463 7506 4910 10711 8145 20172 8491 17584 411 344
4258,18743 19466 149 19770 15090 7183 10019 5675 4058 14765
4262,2674 10848 5606 16502 573 1746 9705 11107 7465 8145
4265,13237 8956 17239 15578 2272 10264 18096 360 13980 20263
4267,9326 9211 19075 4745 17865 16457 387 9477 394 11483
4293,11070 8822 9826 15669 12639 16862 5881 7728 15770 9941
4295,2132 18615 8491 5572 17584 14375 10977 5443 15771 14904
4296,19352 7436 6925 1830 5252 3698 11977 3535 5674 18547
4297,10269 7577 17420 14509 3418 6496 9034 12043 10691 17281
4299,2551 5651 9473 8672 18856 4253 9834 11688 6062 10834
4300,16083 1290 2980 16433 11157 3698 10855 4954 17984 7868
4302,17663 14147 19969 9940 12868 18824 2551 5651 8031 4253
4307,12526 8749 14632 14765 5924 15458 7811 18906 16973 19733
4309,12075 56 19462 9003 13670 2508 6776 8045 5474 7645
